Age,Gender,Education,Person Income,Employee Experience,Home Onwership,Loan Amount,Loan Intent,Loan interest Rate,Loan percentage,Credit History,Credit Score,Previous Loan,Loan Status
21,0,1,158338,0,3,30000,5,5.99,0.19,4,623,1,0
22,0,1,331034,0,2,12000,5,11.58,0.04,2,602,1,0
26,0,3,316466,6,0,10000,1,11.01,0.03,4,579,0,1
25,0,0,267671,0,0,25000,3,15.7,0.09,2,582,0,1
22,1,4,85191,0,3,29100,1,15.99,0.34,3,700,0,1
22,1,0,15013,0,0,1500,1,14.84,0.1,3,688,0,0
26,1,1,313100,3,2,28000,2,10.99,0.09,3,607,1,0
25,0,1,311952,0,0,20000,2,14.42,0.06,2,661,1,0
24,1,3,306897,5,0,9600,1,6.99,0.03,2,562,1,0
25,0,1,301136,0,3,25000,3,13.49,0.08,4,664,1,0
25,1,3,15162,1,2,3000,3,11.01,0.2,3,564,0,1
22,1,0,69042,0,3,28000,3,11.01,0.41,2,598,0,1
21,0,3,15307,0,2,3000,1,13.61,0.2,3,557,0,1
23,0,0,79183,0,3,28000,1,7.9,0.35,2,677,0,1
26,1,1,102654,4,3,28000,5,7.49,0.27,3,690,0,1
26,1,0,15229,1,2,6100,1,7.51,0.4,3,599,0,1
22,1,3,106566,0,3,28000,5,9.91,0.26,3,604,0,1
21,0,1,15252,0,2,4200,4,13.48,0.28,4,663,0,1
22,1,1,15432,3,2,4750,0,7.14,0.31,2,601,0,1
24,1,3,100332,1,3,28000,5,15.99,0.28,4,634,0,1
24,1,1,300951,2,3,18000,1,12.98,0.06,3,671,0,0
144,1,1,300616,125,3,4800,5,13.57,0.02,3,789,0,0
25,0,1,121062,1,3,28000,0,12.69,0.23,3,622,0,0
26,1,0,133372,1,3,28000,1,8.9,0.21,2,538,1,0
26,1,1,15505,0,2,2700,0,11.01,0.17,4,587,0,1
22,1,4,130852,0,3,28000,1,11.01,0.21,4,683,0,1
23,1,0,182316,0,3,28000,0,11.11,0.15,2,634,1,0
24,0,1,83853,3,3,27600,2,11.01,0.33,2,690,0,1
21,0,1,15394,0,0,3250,0,15.68,0.21,3,518,0,1
22,0,1,85243,0,3,27500,1,13.06,0.32,3,583,0,1
22,1,0,288907,2,2,25000,4,11.01,0.09,2,617,1,0
26,1,0,89074,4,3,27050,5,15.62,0.3,2,668,0,1
24,1,4,100509,2,3,27000,4,13.49,0.27,2,673,0,1
24,1,3,88950,3,3,27000,5,11.01,0.3,3,706,0,1
23,0,3,75894,1,3,26000,3,11.71,0.34,2,536,0,1
23,1,0,145092,0,3,25600,1,12.69,0.18,3,557,1,0
24,0,1,15928,1,2,1600,3,13.57,0.1,3,689,1,0
22,1,1,73131,3,3,25475,5,10.99,0.35,3,681,0,1
25,1,4,281501,4,0,20000,3,14.27,0.07,4,623,1,0
24,0,0,281775,0,2,20000,2,8.88,0.07,4,595,1,0
26,1,1,281792,1,0,21600,2,12.18,0.08,3,584,1,0
25,1,1,266090,4,0,11900,0,14.42,0.04,3,669,0,1
26,1,3,279664,3,0,25000,3,14.17,0.09,2,642,1,0
25,0,3,277017,4,0,35000,3,13.99,0.13,4,622,1,0
23,1,0,100756,0,3,25300,1,10.99,0.25,3,689,0,1
22,1,3,16218,1,0,2000,4,5.42,0.12,4,614,0,1
25,0,1,16211,2,2,1750,4,13.61,0.11,3,597,1,0
21,0,1,51922,3,3,25000,1,12.73,0.48,3,673,0,1
24,1,0,50309,3,3,25000,2,11.01,0.5,3,625,0,1
25,1,3,16378,0,2,3000,0,12.87,0.18,4,603,0,1
24,1,1,16572,0,0,3650,2,9.91,0.22,3,589,0,1
26,1,4,272201,5,0,20000,2,11.49,0.07,4,670,1,0
25,0,1,271324,3,0,30000,2,19.91,0.11,2,637,1,0
26,1,0,256862,2,0,35000,1,10.65,0.14,2,643,0,1
24,1,3,271342,0,3,6000,3,11.01,0.02,4,508,1,0
24,1,3,16470,2,0,4500,0,11.83,0.27,4,643,0,1
23,1,3,16599,0,2,2400,0,13.49,0.14,2,505,0,1
22,1,1,51608,0,3,25000,3,14.59,0.48,2,593,0,1
26,0,4,58516,6,3,25000,1,9.64,0.43,4,686,0,1
25,0,0,16395,4,2,3600,3,14.59,0.22,3,646,0,1
22,0,1,16890,0,2,4750,1,11.01,0.28,3,645,0,1
25,0,0,51747,3,3,25000,1,16.35,0.48,3,697,0,1
21,1,3,59864,0,3,25000,1,10.99,0.42,2,648,0,1
25,1,4,270972,1,0,25000,5,18.67,0.09,2,640,1,0
26,1,1,270870,5,3,3000,1,9.32,0.01,4,681,0,0
23,0,0,270729,0,3,7500,0,8.63,0.03,2,646,0,0
26,1,1,270877,4,0,25000,5,10.08,0.09,2,615,1,0
22,1,0,60501,0,3,25000,4,11.83,0.41,3,687,0,1
23,1,3,60754,1,3,25000,0,7.9,0.41,3,650,0,1
25,1,1,60829,0,3,25000,2,5.99,0.41,2,588,0,1
24,1,1,53825,2,3,25000,0,15.33,0.46,2,652,0,1
23,1,3,60801,0,3,25000,5,11.83,0.41,4,658,0,1
22,1,3,60747,0,3,25000,5,10.36,0.41,2,634,0,1
22,0,3,61029,0,3,25000,5,12.23,0.41,3,623,0,1
22,0,0,63236,0,3,25000,1,11.11,0.4,4,635,0,1
23,0,1,17149,0,2,4950,0,7.9,0.29,4,531,0,1
24,0,4,265066,4,0,25000,1,11.58,0.09,2,665,1,0
23,1,0,260205,2,0,21000,0,8.9,0.08,3,703,0,0
25,0,0,260035,5,0,25000,1,16.07,0.1,3,585,1,0
26,0,1,260444,4,0,20000,1,14.22,0.08,2,594,0,0
23,1,1,258980,0,0,35000,3,14.79,0.14,3,618,1,0
26,1,3,259081,2,0,12000,1,7.88,0.05,2,626,1,0
23,1,3,63497,0,3,25000,4,13.22,0.39,2,695,0,1
26,0,2,56325,2,3,25000,0,11.86,0.44,4,690,0,1
22,1,1,64842,0,3,25000,1,13.43,0.39,4,574,0,1
26,0,3,57856,0,3,25000,2,15.28,0.43,2,602,0,1
23,1,0,57318,0,3,25000,5,17.93,0.44,2,679,0,1
23,0,3,16916,2,0,1400,1,9.25,0.08,4,615,0,0
21,1,4,16664,0,2,4500,5,12.98,0.27,4,601,0,1
22,1,0,252803,0,0,16000,5,10.62,0.06,4,577,1,0
26,0,0,253061,3,2,22000,4,11.83,0.09,4,588,1,0
26,1,1,58602,8,3,25000,5,18.43,0.43,2,595,0,1
22,1,3,67012,2,3,25000,1,11.01,0.37,4,653,0,1
24,0,4,66643,3,3,25000,2,11.01,0.38,4,663,0,1
23,1,1,66599,0,3,25000,1,11.36,0.38,3,653,0,1
23,1,0,67212,2,3,25000,1,15.65,0.37,3,598,0,1
24,0,3,66918,1,3,25000,4,13.22,0.37,4,630,0,1
26,1,0,68066,2,3,25000,0,12.87,0.37,2,637,0,1
24,1,0,245545,1,2,20000,3,13.04,0.08,3,660,1,0
23,1,0,229083,0,0,22000,1,17.58,0.1,3,639,0,1
23,1,3,17859,0,2,7750,4,17.04,0.43,4,626,0,1
24,0,0,72608,3,3,25000,4,10.99,0.34,3,612,0,1
24,1,1,73073,1,3,25000,4,11.11,0.34,3,628,0,1
26,0,4,65880,2,3,25000,0,14.83,0.38,2,592,0,1
23,1,3,17755,1,2,4000,0,11.01,0.23,3,580,0,1
24,1,1,241180,3,3,12000,3,12.69,0.05,2,634,0,0
24,1,0,240894,3,0,12000,2,13.49,0.05,2,678,0,0
21,1,3,240980,0,0,16000,1,14.65,0.07,4,557,1,0
25,1,1,65742,3,3,25000,2,16.82,0.38,4,672,0,1
23,1,1,72713,0,3,25000,4,12.73,0.34,3,613,0,1
23,1,3,72627,3,3,25000,4,10.25,0.34,4,566,0,1
21,1,0,72843,0,3,25000,1,10.99,0.34,4,718,0,1
25,1,3,75504,4,3,25000,3,12.73,0.33,2,484,0,1
22,0,3,68824,0,3,25000,2,14.96,0.36,3,634,0,1
23,0,1,241167,2,0,28000,1,11.01,0.12,2,653,1,0
21,1,1,241060,0,0,25000,0,13.99,0.1,2,699,0,0
24,1,3,240855,0,0,24000,5,7.49,0.1,4,656,1,0
26,1,3,241030,3,0,15000,1,14.79,0.06,3,626,1,0
25,1,3,240895,2,0,15500,0,11.99,0.06,2,659,0,0
24,0,3,240932,4,3,10000,1,8.49,0.04,4,604,1,0
24,1,0,80145,1,3,25000,1,9.91,0.31,2,636,0,1
22,1,4,80303,0,3,25000,1,13.06,0.31,3,554,0,1
22,1,3,241048,0,0,9000,0,6.17,0.04,4,587,1,0
144,1,0,241424,121,0,6000,1,11.86,0.02,2,807,0,0
25,1,1,241005,4,3,18000,1,16.32,0.07,3,708,1,0
25,0,4,240768,2,0,12000,5,10.38,0.05,2,669,1,0
25,1,0,241201,2,0,23050,4,14.35,0.1,3,578,0,0
24,1,1,240920,5,0,20000,0,11.01,0.08,3,615,0,0
24,0,4,72919,1,3,25000,0,11.01,0.34,2,553,0,1
21,1,4,18008,0,2,3000,2,11.01,0.17,4,635,0,1
26,0,0,81238,3,3,25000,4,15.21,0.31,2,531,0,1
23,1,3,80868,1,3,25000,1,7.9,0.31,4,621,0,1
24,1,1,81537,1,3,25000,5,10.99,0.31,3,674,0,1
24,0,0,82741,0,3,25000,4,14.09,0.3,3,688,0,1
25,0,3,83901,3,3,25000,4,17.49,0.3,2,597,0,1
25,1,0,240717,1,0,12000,1,11.48,0.05,3,640,0,0
26,0,0,226744,0,0,20000,5,17.74,0.09,2,621,0,1
26,0,1,241114,5,0,3000,4,13.92,0.01,3,608,1,0
25,1,1,85284,3,3,25000,1,15.21,0.29,3,653,0,1
22,0,1,18152,0,2,4000,3,10.99,0.22,3,585,0,1
24,0,3,84871,3,3,25000,1,11.86,0.29,4,569,0,1
24,1,1,18294,2,2,6000,4,7.49,0.33,3,587,0,1
24,1,1,68029,1,3,25000,3,16.49,0.37,4,631,0,1
25,0,3,80001,4,3,25000,5,15.33,0.31,2,592,0,1
26,0,3,79875,6,3,25000,2,11.58,0.31,4,679,0,1
25,1,3,18449,1,2,5375,1,5.79,0.29,2,645,0,1
25,1,0,88153,0,3,25000,3,13.11,0.28,2,669,0,1
23,0,1,90109,0,3,25000,3,10.36,0.28,3,653,0,1
25,1,1,90938,1,3,25000,0,10.36,0.27,2,577,0,1
24,1,3,231335,0,3,22000,3,11.01,0.1,2,668,1,0
21,1,1,231829,0,0,20000,5,6.54,0.09,4,629,0,0
25,0,0,230516,4,0,10000,3,12.53,0.04,4,643,0,0
26,1,1,229626,0,0,15000,4,11.01,0.07,3,626,0,0
22,1,1,228907,0,0,10000,5,11.01,0.04,3,560,1,0
24,1,1,90938,0,3,25000,1,10.25,0.27,4,648,0,1
22,1,0,86284,0,3,25000,1,15.95,0.29,4,648,0,1
26,1,0,228774,3,0,20000,5,12.18,0.09,4,669,1,0
23,1,3,229027,2,2,24000,4,11.83,0.1,3,536,1,0
23,1,3,94789,1,3,25000,0,11.01,0.26,2,548,0,1
23,0,4,94780,0,3,25000,5,10.62,0.26,3,667,0,1
23,1,3,95298,0,3,25000,5,10.74,0.26,3,676,0,1
25,1,0,223944,1,2,10000,5,10.25,0.04,4,570,1,0
24,1,3,222629,0,0,35000,1,12.42,0.16,2,623,0,0
25,0,1,222973,2,3,15000,5,15.27,0.07,2,652,1,0
24,0,3,75240,1,3,25000,3,15.33,0.33,2,625,0,1
23,0,3,96143,1,3,25000,5,15.21,0.26,2,642,0,1
21,1,1,18064,0,2,6250,5,14.72,0.35,2,580,0,1
24,1,0,96627,2,3,25000,4,15.7,0.26,2,622,0,1
24,1,1,96309,3,3,25000,1,13.35,0.26,4,581,0,1
21,0,3,18421,1,0,1500,3,11.01,0.08,4,623,0,0
24,1,4,96836,1,3,25000,1,6.62,0.26,2,583,0,1
26,1,1,96947,4,3,25000,0,13.61,0.26,4,645,0,1
22,0,0,222975,2,3,25000,3,11.36,0.11,2,593,1,0
26,1,0,222985,3,2,5000,4,7.68,0.02,2,659,1,0
24,0,1,223064,0,3,22000,2,14.46,0.1,4,655,1,0
23,1,0,221559,2,2,2500,1,11.83,0.01,2,583,1,0
24,0,0,207712,0,0,20000,0,13.47,0.1,4,582,0,1
24,0,1,220872,1,0,20000,3,11.49,0.09,3,504,1,0
22,1,3,220518,0,0,1000,1,11.01,0.0,2,551,1,0
25,0,0,220510,1,0,15000,4,6.03,0.07,3,529,1,0
23,0,1,89818,0,3,25000,0,16.35,0.28,4,674,0,1
26,0,3,90006,4,3,25000,0,11.01,0.28,4,595,0,1
25,0,3,98704,6,3,25000,0,7.29,0.25,3,597,0,1
23,1,3,98967,5,3,25000,3,11.36,0.25,3,566,0,1
24,1,3,99435,3,3,25000,5,10.25,0.25,2,666,0,0
24,0,1,100658,1,3,25000,1,11.12,0.25,3,695,0,0
24,0,1,100435,2,3,25000,4,12.92,0.25,3,576,1,0
24,1,3,216925,5,3,18000,1,18.64,0.08,4,651,1,0
23,0,1,216891,0,0,28000,4,7.51,0.13,3,633,1,0
23,1,4,18512,1,2,4000,2,16.7,0.22,2,566,0,1
22,1,4,18367,0,2,2100,4,11.14,0.11,4,583,0,0
22,0,0,102317,0,3,25000,4,18.3,0.24,4,586,1,0
24,0,0,103400,4,3,25000,3,10.62,0.24,4,592,1,0
24,1,1,217134,2,0,14000,5,11.99,0.06,2,598,1,0
26,1,4,217024,1,0,12000,5,9.63,0.06,4,637,1,0
25,0,3,172215,5,0,10000,3,18.25,0.06,4,628,0,1
23,1,4,18831,0,0,6000,0,11.01,0.32,4,667,0,1
24,1,0,105349,5,3,25000,2,14.84,0.24,3,621,1,0
24,1,1,91184,1,3,25000,5,14.7,0.27,3,668,0,1
23,0,3,91886,1,3,25000,0,16.02,0.27,4,544,0,1
23,1,0,80452,2,3,25000,3,15.37,0.31,2,699,0,1
25,0,1,108758,2,3,25000,3,10.99,0.23,4,611,0,0
21,1,0,18916,0,2,6200,2,7.9,0.33,2,615,0,1
26,0,3,217234,5,2,25000,4,10.99,0.12,4,559,1,0
24,0,3,217017,0,2,21000,1,11.48,0.1,3,577,1,0
25,1,3,216874,1,2,20000,3,14.26,0.09,4,657,1,0
26,1,0,216833,5,2,10000,2,8.0,0.05,4,676,1,0
25,1,1,216483,0,0,9950,5,11.26,0.05,2,601,0,0
23,0,4,19000,2,2,4475,3,11.01,0.24,4,647,0,1
23,0,4,94363,0,3,25000,5,16.32,0.26,3,576,0,1
25,1,4,80570,3,3,25000,3,17.93,0.31,4,612,0,1
23,1,1,109167,0,3,25000,0,11.36,0.23,3,678,0,0
24,0,0,95753,1,3,25000,0,14.96,0.26,4,542,0,1
24,0,0,110935,1,3,25000,4,13.43,0.23,3,709,1,0
25,1,0,111490,2,3,25000,2,12.69,0.22,3,622,1,0
24,1,0,111729,4,3,25000,5,12.73,0.22,4,642,1,0
23,0,3,113396,0,3,25000,5,15.21,0.22,4,660,0,0
23,0,1,19175,1,0,1750,3,12.68,0.09,3,587,1,0
23,0,3,85787,0,3,25000,3,19.04,0.29,4,646,0,1
25,0,4,102114,7,3,25000,0,15.95,0.24,3,637,0,1
26,1,1,211005,5,0,2600,5,8.9,0.01,4,718,0,0
25,1,4,210903,4,0,8000,2,7.9,0.04,2,588,1,0
22,1,0,210555,0,0,18000,1,11.01,0.09,2,652,0,0
23,1,1,210937,0,0,21000,4,11.99,0.1,3,620,1,0
23,1,3,19062,2,2,4000,0,13.98,0.21,4,667,0,1
23,0,0,18926,0,2,4600,5,10.99,0.24,2,688,0,1
22,1,0,106694,0,3,25000,0,15.58,0.23,2,667,0,1
25,1,4,90718,4,3,25000,3,10.99,0.28,2,692,0,1
25,1,1,106668,1,3,25000,5,14.96,0.23,4,562,0,1
25,1,3,19158,4,2,1750,2,15.31,0.09,4,625,1,0
26,1,3,106419,5,3,25000,5,15.65,0.23,3,649,0,1
25,0,3,120696,3,3,25000,5,9.33,0.21,4,545,1,0
23,1,3,19065,3,0,3600,4,13.47,0.19,4,540,0,1
24,0,0,124083,0,3,25000,4,10.36,0.2,3,637,1,0
24,1,0,111673,4,3,25000,2,16.77,0.22,4,600,0,1
23,1,3,112633,1,3,25000,0,14.59,0.22,2,633,0,1
22,1,3,210938,0,3,3500,5,11.91,0.02,2,588,0,0
23,0,0,210720,2,0,7200,1,8.38,0.03,3,624,1,0
25,1,3,210705,7,3,9000,5,10.59,0.04,3,525,1,0
25,1,3,209997,3,0,8800,0,14.27,0.04,3,616,1,0
26,0,4,209873,3,3,12000,0,12.53,0.06,4,675,0,0
25,0,0,195268,1,0,25000,0,16.0,0.13,3,662,0,1
26,1,4,209393,2,0,10000,5,11.71,0.05,4,585,1,0
21,1,4,18773,0,2,3175,2,11.54,0.17,3,686,0,1
25,0,1,116439,2,3,25000,2,15.68,0.21,4,595,0,1
21,0,0,19169,2,0,1500,1,10.59,0.08,2,537,1,0
24,0,3,118417,0,3,25000,2,12.61,0.21,2,625,0,1
26,0,3,133476,0,3,25000,4,11.01,0.19,2,641,1,0
23,0,0,19312,4,0,2800,4,8.49,0.14,3,661,0,1
25,1,3,192351,1,3,30000,4,17.27,0.16,4,577,0,1
24,1,1,206648,4,3,18000,0,8.9,0.09,4,537,1,0
25,0,3,205046,6,0,10000,3,11.11,0.05,4,646,1,0
24,1,3,190735,1,3,25000,2,14.59,0.13,2,653,0,1
26,0,0,204872,3,3,13000,5,12.42,0.06,3,654,0,0
24,1,0,100758,0,3,25000,3,11.01,0.25,2,635,0,1
24,0,4,133231,3,3,25000,2,15.7,0.19,2,675,1,0
22,0,4,18923,0,2,2500,2,12.53,0.13,3,618,0,1
25,0,4,161894,0,3,5000,3,16.49,0.03,2,609,0,1
25,0,1,205144,0,0,20000,1,7.49,0.1,2,545,1,0
22,0,3,121617,2,3,25000,0,14.96,0.21,2,629,0,1
25,1,0,136206,6,3,25000,3,12.73,0.18,4,539,0,0
24,1,4,144915,4,3,25000,1,10.65,0.17,4,593,1,0
25,0,3,145233,3,3,25000,3,10.74,0.17,2,683,0,0
23,1,1,145002,1,3,25000,1,9.99,0.17,2,670,1,0
24,1,4,110953,0,3,25000,3,15.33,0.23,2,662,0,1
21,0,3,19414,2,2,1000,5,7.29,0.05,4,681,1,0
26,1,3,130096,1,3,25000,4,15.05,0.19,3,636,0,1
26,1,4,157292,0,3,25000,4,10.75,0.16,3,677,1,0
23,0,1,156995,3,3,25000,1,16.02,0.16,2,656,1,0
23,0,0,156952,0,3,25000,5,11.49,0.16,4,674,1,0
25,0,0,205005,6,2,20000,1,12.53,0.1,4,587,0,0
26,0,1,205060,2,0,12000,5,13.57,0.06,2,658,0,0
22,1,3,203782,4,3,14000,4,11.14,0.07,3,581,1,0
26,1,3,203368,3,3,24250,3,12.87,0.12,3,606,1,0
23,0,0,203403,0,3,20000,1,11.58,0.1,3,648,0,0
24,0,0,202715,3,3,1800,2,11.12,0.01,3,563,1,0
25,0,4,202525,1,0,35000,4,10.65,0.17,2,589,1,0
24,1,0,161487,1,3,25000,0,10.37,0.15,2,641,0,0
24,1,0,19677,3,2,3300,2,6.39,0.17,4,637,0,1
24,1,3,161952,2,3,25000,4,16.07,0.15,3,578,1,0
25,0,1,161560,0,3,25000,3,10.62,0.15,2,660,1,0
25,1,3,19423,3,2,3200,5,18.09,0.16,2,586,0,1
25,1,0,163134,5,3,25000,1,11.36,0.15,4,567,1,0
26,0,1,163683,5,3,25000,0,12.53,0.15,4,582,1,0
25,0,1,174972,3,3,25000,1,9.99,0.14,4,712,1,0
23,1,3,181016,4,3,25000,1,10.36,0.14,3,674,0,0
23,0,4,198920,0,0,9600,1,5.99,0.05,3,532,1,0
22,0,4,184800,1,0,24000,0,15.62,0.13,2,670,0,1
24,1,4,198862,6,0,20000,4,10.37,0.1,4,658,0,0
25,1,0,199407,0,0,25000,2,19.74,0.13,4,669,0,0
21,1,1,198803,0,0,20000,1,6.91,0.1,4,681,1,0
23,1,0,20044,3,2,6000,3,7.9,0.3,2,618,0,1
23,0,1,20401,4,0,2275,0,13.06,0.11,4,573,1,0
23,0,3,19859,0,2,2000,4,6.39,0.1,3,491,1,0
23,1,4,178660,2,3,25000,0,14.93,0.14,3,590,0,1
23,0,3,20421,0,0,5600,3,12.84,0.27,4,587,0,1
24,1,4,20353,2,2,3625,5,17.14,0.18,2,648,0,1
22,1,4,20297,0,0,5500,5,7.14,0.27,3,687,0,1
25,1,1,210932,0,3,25000,4,8.9,0.12,2,621,0,0
22,0,3,20405,0,2,2000,4,12.42,0.1,3,590,1,0
24,1,0,223194,0,3,25000,2,12.68,0.11,2,676,1,0
25,0,0,195560,0,3,25000,4,11.03,0.13,2,677,1,0
26,1,1,194140,6,3,30000,5,7.9,0.15,4,651,1,0
22,1,3,193337,0,0,35000,3,10.65,0.18,4,602,1,0
25,1,3,270992,2,3,25000,5,11.86,0.09,4,652,0,0
25,1,0,20221,5,2,5000,4,8.94,0.25,4,572,0,1
23,1,1,20678,0,2,4375,5,9.63,0.21,4,528,0,1
25,0,3,60742,3,3,24750,4,14.22,0.41,3,638,0,1
23,0,3,72805,2,3,24750,0,9.33,0.34,3,655,0,1
24,1,4,102011,3,3,24500,3,13.85,0.24,4,627,1,0
22,1,3,20896,0,0,2000,1,10.65,0.1,2,596,0,0
24,0,1,111283,0,3,24500,3,11.46,0.22,4,694,0,0
23,0,0,192873,0,0,35000,4,7.66,0.18,2,684,1,0
24,0,1,193174,0,0,12000,5,16.77,0.06,4,547,0,0
25,0,1,193249,0,0,12000,4,9.63,0.06,4,586,1,0
26,0,1,192954,5,3,25000,4,12.23,0.13,4,694,0,0
25,1,4,152227,2,0,10000,3,14.09,0.07,4,639,0,1
25,0,1,65399,0,3,24250,4,13.98,0.37,4,663,0,1
23,0,3,75928,4,3,24250,1,10.62,0.32,4,528,0,1
24,1,1,21627,0,0,3900,0,11.01,0.18,3,636,0,1
25,1,3,83235,3,3,24250,4,17.56,0.29,4,603,0,1
26,1,3,68297,3,3,24250,3,14.96,0.36,2,507,0,1
22,1,4,89977,3,3,24250,0,15.65,0.27,2,692,0,1
24,0,0,79510,2,3,24250,3,15.7,0.3,2,604,0,1
24,0,1,109050,5,3,24250,5,12.53,0.22,3,622,0,0
26,0,1,94635,2,3,24250,2,17.56,0.26,3,643,0,1
23,1,3,120966,0,3,24250,4,12.87,0.2,2,565,0,0
23,1,4,124437,0,3,24250,4,15.7,0.19,2,718,1,0
25,1,1,193147,3,0,9000,1,11.01,0.05,3,625,1,0
25,1,1,192914,0,2,15000,5,11.14,0.08,4,614,1,0
24,0,1,192806,2,0,20000,5,16.0,0.1,3,690,1,0
23,1,3,193097,0,0,25000,1,15.65,0.13,2,564,1,0
26,0,0,193082,5,0,13750,0,11.01,0.07,4,579,1,0
21,0,3,192841,1,0,15250,5,15.31,0.08,4,648,0,0
25,1,4,193300,3,0,20000,5,13.47,0.1,2,531,1,0
22,1,0,21205,0,0,4750,2,13.85,0.22,2,658,0,1
25,0,1,135292,3,3,24250,4,11.01,0.18,3,574,0,0
21,1,3,21363,2,0,6000,5,10.39,0.28,4,671,0,1
25,1,3,139035,7,3,24250,2,11.36,0.17,2,633,0,0
23,1,3,173511,0,3,24250,1,11.83,0.14,3,631,1,0
23,1,0,345520,0,3,24250,1,12.53,0.07,3,652,1,0
22,0,1,130762,3,3,24150,2,14.96,0.18,3,683,0,1
22,0,1,52596,0,3,24000,0,13.85,0.46,3,693,0,1
23,0,1,57326,2,3,24000,5,11.58,0.42,4,603,0,1
24,0,3,58262,1,3,24000,5,16.29,0.41,2,522,0,1
26,0,3,58620,4,3,24000,3,11.01,0.41,3,664,0,1
